"date","speaker","speaker_portfolio","title","link","time","end_time","timezone","venue","abstract","published"
"2025-10-16","Tom Sterkenburg","https://www.mcmp.philosophie.uni-muenchen.de/people/faculty/sterkenburg_tom/index.html","Occam's razor in machine learning","https://lse.zoom.us/j/85623071627","15:00","16:30","Europe/Berlin","Ulmestrasse 52i, Ground Floor, meeting room 02 + Zoom","The principle of Occam's razor instructs us to prefer simplicity when making inductive inferences. The principle has attracted much discussion in the philosophy of science, and it also makes a regular appearence in the machine learning literature. However, in both fields a justification for Occam's razor---why, exactly, is it a good idea to prefer simplicity?---has been elusive. In my talk, I will first spell out a justification for Occam's razor based on the classical mathematical theory of machine learning. I argue that this is a genuine methodological justification, linking a simplicity preference to predictive accuracy, without relying on a question-begging ""ontic"" assumption that the ""truth"" is simple. I will then discuss the contemporary ""generalization paradox"", which appears to show that the classical theory cannot explain the performance of modern machine learning algorithms. Interestingly, attempts at a novel theoretical account to supersede the classical theory again invoke Occam's razor. I will point out, however, that this new Occam's razor does rather amount to an ontic commitment than a methodological principle.","yes"
"2025-10-30","Zalan Gyenis","https://iphils.uj.edu.pl/~z.gyenis/","What are probabilities if logic is not classical?","https://lse.zoom.us/j/85623071627","15:00","16:30","Europe/Berlin","Ulmestrasse 52i, Ground Floor, meeting room 02 + Zoom","We would like to believe true propositions and avoid believing false ones. It is typical to represent an agent's belief state by means of a belief function which assigns numbers from the [0,1] real segment to propositions. Ideally, then, we would want our credences in true propositions to equal 1, and our credences in false propositions to equal 0. However, due to our cognitive and evidential limitations, leading to the typical human condition of imperfect information, we have to settle for something else. It is one of the basic tenets of formal epistemology that belief functions of a rational agent are weighted means of classical truth evaluations; this is the same as saying that they belong to the ``convex hull'' of classical evaluations, and, seen from yet another angle, it means that these belief functions satisfy the classical Kolmogorov probability axioms.
 All this assumes, usually implicitly, that the underlying logic is classical. How does the situation change if this assumption is removed? The talk concerns with axiomatization of probability in the context of various nonclassical logics. First, I survey the known results, then I report a solution to an open problem regarding the axiomatization of probability functions of Symmetric Logic. Finally, I show that a large class of general logics admit a recursive axiomatization of their probability functions, allowing probabilistic reasoning in an axiomatic manner. I close the talk with mentioning open problems and possible research future directions.","yes"
"2025-11-20","Iulian Toader","https://ucrisportal.univie.ac.at/en/persons/iulian-danut-toader/","The roots of scientific conservatism","https://lse.zoom.us/j/85623071627","15:00","16:30","Europe/Berlin","Ulmestrasse 52i, Ground Floor, meeting room 02 + Zoom","Contemporary physicists extol the virtues of scientific conservatism, the view that advocates the preservation of the theoretical status quo -- the standard model of particle physics, general relativity, quantum theory -- and castigates everything beyond this as unfounded speculations, unencumbered by experimental data. More generally, conservatives emphasize that science has almost always been cumulative, and progress has almost always been made through evolution, rather than revolution. They also suggest that contemporary science can only be cumulative, and can only make progress through evolution, rather than revolution. In this talk, I focus on a particular expression of scientific conservatism -- the so-called principle of permanence -- in order to determine how to understand more precisely the kinds of indispensability the theoretical status quo is thought to have.","yes"
"2025-11-27","Márton Gömöri","https://lps.elte.hu/gomori/","Why do outcomes in a long series of rolls of a symmetric die follow an approximately uniform distribution?","https://lse.zoom.us/j/85623071627","15:00","16:30","Europe/Berlin","Zoom (online only)","The talk outlines a new answer to this question. The answer is based on 1) the structure of phase space pertaining to a roll of a symmetric die, as described by classical mechanics, 2) the notion that the die roll is not biased in favor any outcome, as a causal condition about the process of selecting a point in phase space, and 3) the Common Cause Principle. Remarkably, however, our answer nowhere refers to the notion of probability.","yes"
"2025-12-04","Gabor Hofer-Szabo","http://hps.elte.hu/%7Egszabo/","Classicality, locality and the three types of Bell's inequalities","https://lse.zoom.us/j/85623071627","15:00","16:30","Europe/Berlin","Ulmestrasse 52i, Ground Floor, meeting room 02 + Zoom","Bell's inequalities can be understood in three different ways depending on whether the numbers featuring in the inequalities are interpreted as classical probabilities, classical conditional probabilities, or quantum probabilities. In the talk I will argue that the violation of Bell's inequalities has different meanings in the three cases. In the first case it rules out the interpretation of certain numbers as probabilities of classical events. In the second case it rules out a common causal explanation of conditional correlations of certain events (measurement outcomes) conditioned on other events (measurement settings). Finally, in the third case the violation of Bell's inequalities neither rules out the interpretation of these numbers as probabilities of events nor a common causal explanation of the correlations between these events---provided both the events and the common causes are interpreted non-classically.","yes"
"2025-12-11","John Dougherty","https://www.philosophie.lmu.de/mcmp/en/people/contact-page/john-dougherty-8d752f2f.html","Two varieties of scientific antirealism","https://lse.zoom.us/j/85623071627","15:00","16:30","Europe/Berlin","Ulmestrasse 52i, Ground Floor, meeting room 02 + Zoom","The scientific realism debate has recently seen a wave of interest in using inferentialist, pragmatist, expressivist, and other non-representationalist ideas in support of realist positions. This is surprising, because contemporary versions of scientific realism are typically committed to a ""semantic realism"" that interprets theoretical claims literally. Indeed, the widespread adoption of semantic realism in the twentieth century contributed to the demise of the logical empiricists' scientific antirealism. The new interest in non-representationalism therefore calls for reconsideration of the rise of semantic realism: what was shown, what was ruled out, and what is left open. In this talk, I argue that mid-century defenses of semantic realism can be distinguished into two camps. These camps are united in rejecting the image of a scientific theory as partitioned into a set of semantically problematic theoretical claims and a set of semantically unproblematic observation claims. However, the first camp takes the rejection of this division to dissolve the problematic status of the theoretical claims, while the second takes it to extend this status also to observation claims. The former has been the more influential in the scientific realism debate, the latter in the literature on non-representationalism. I argue for more specific characterizations of these two camps with an eye toward the contemporary realism debate.","yes"
